id,title,author,year,isbn
33,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",,9999999999999
34,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",,9999999999999
35,Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",,9780064410939
36,Of Mice and Men,John Steinbeck,,9780142000670
37,The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),,9781939126016
38,Dracula,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",,9780393970128
39,Brave New World,Aldous Huxley,,9780060929879
40,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa (Translator)",,9999999999999
41,The Catcher in the Rye,J.D. Salinger,,9780316769174
42,The Princess Bride,William Goldman,,9780345418265
43,The Lightning Thief,Rick Riordan (Goodreads Author),,9780786838653
44,The Secret Garden,Frances Hodgson Burnett,,9780517189603
45,A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),,9781594489501
46,A Wrinkle in Time,Madeleine L'Engle,,9781250153272
47,A Game of Thrones,George R.R. Martin,,9780553588484
48,The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)",,9780142437179
49,The Lovely Bones,Alice Sebold,,9780316166683
50,The Outsiders,S.E. Hinton (Goodreads Author),,9999999999999
51,Where the Wild Things Are,Maurice Sendak,,9780099408390
52,Green Eggs and Ham,Dr. Seuss,,9780394800165
53,The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",,9780143039952
54,Life of Pi,Yann Martel,,9780770430078
55,A Tale of Two Cities,"Charles Dickens, Richard Maxwell (Editor/Introduction)",,9780141439600
56,Water for Elephants,Sara Gruen (Goodreads Author),,9781565125605
57,Lolita,"Vladimir Nabokov, Craig Raine (Afterword)",,B00IIAQY3Q
58,Slaughterhouse-Five,Kurt Vonnegut Jr.,,9780385333849
59,Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte Gordon (Goodreads Author) (Introduction)",,9780143131847
60,The Kite Runner,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",,9999999999999
61,The Handmaid's Tale,Margaret Atwood (Goodreads Author),,9999999999999
62,The Giver,Lois Lowry (Goodreads Author),,9780385732550
63,Catch-22,Joseph Heller,,9780684833392
64,Dune,Frank Herbert,,9780593099322
65,The Pillars of the Earth,Ken Follett (Goodreads Author),,9999999999999
66,The Stand,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",,9780385199575
67,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,9999999999999
68,Watership Down,Richard Adams,,9780380395866
69,Great Expectations,"Charles Dickens, Παυλίνα Παμπούδη (Translator), Marisa Sestino (Translator)",,9780192833594
70,Little Women,Louisa May Alcott,,9780451529305
71,The Bell Jar,Sylvia Plath,,9999999999999
72,Harry Potter and the Deathly Hallows,J.K. Rowling,,9780545010221
73,One Flew Over the Cuckoo's Nest,Ken Kesey,,9999999999999
74,Anna Karenina,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",,9999999999999
75,Outlander,Diana Gabaldon (Goodreads Author),,9780440242949
76,My Sister's Keeper,Jodi Picoult (Goodreads Author),,9780743454537
77,Matilda,"Roald Dahl, Quentin Blake (Illustrator)",,9780141301068
78,The Fellowship of the Ring,J.R.R. Tolkien,,9780345015339
79,The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (Translator)",,9999999999999
80,Rebecca,Daphne du Maurier,,9780316323703
81,1984,George Orwell,,B003JTHWKU
82,The Color Purple,Alice Walker,,9780143135692
83,A Tree Grows in Brooklyn,Betty Smith,,9780061120077
84,A Clockwork Orange,Anthony Burgess,,9780393341768
85,The Road,Cormac McCarthy,,9780307265432
86,The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",,9780374528379
87,Angela's Ashes,Frank McCourt,,9780007205233
88,Vampire Academy,Richelle Mead (Goodreads Author),,9781595141743
89,Siddhartha,"Hermann Hesse, Hilda Rosner (Translator)",,9999999999999
90,The Poisonwood Bible,Barbara Kingsolver,,9780060786502
91,The Golden Compass,Philip Pullman,,9780679879244
92,Don Quixote,"Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto González Echevarría (Introduction)",,9780142437230
93,Atlas Shrugged,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",,9780452011878
94,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré (Illustrator)",,9780439655484
95,The Old Man and the Sea,Ernest Hemingway,,9780684830490
96,The Notebook,Nicholas Sparks (Goodreads Author),,B000Q67J66
97,Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard (Illustrator)",,9780525467564
98,The Complete Stories and Poems,Edgar Allan Poe,,9780385074070
99,Interview with the Vampire,Anne Rice,,9780345476876
100,A Prayer for Owen Meany,John Irving (Goodreads Author),,9780552135399
101,"Moby-Dick or, the Whale","Herman Melville, Andrew Delbanco (Introduction), Tom Quirk (Notes), Rockwell Kent (Illustrator)",,9780142437247
102,The Red Tent,Anita Diamant (Goodreads Author),,9780312353766
103,The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),,9780142001745
104,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré (Illustrator)",,9999999999999
105,Clockwork Angel,"Cassandra Clare (Goodreads Author), Rita Sussekind (Translator)",,9781416975861
106,Harry Potter and the Half-Blood Prince,J.K. Rowling,,9999999999999
107,And Then There Were None,Agatha Christie,,9780312330873
108,Middlesex,Jeffrey Eugenides,,9780312422158
109,The Stranger,"Albert Camus, Matthew Ward (Translator)",,9999999999999
110,The Master and Margarita,"Mikhail Bulgakov, Katherine Tiernan O'Connor (Translator), Ellendea Proffer (Annotations and Afterword), Diana Lewis Burgin (Translator)",,9780679760801
111,The Name of the Wind,Patrick Rothfuss (Goodreads Author),,9780756404079
112,The Shining,Stephen King (Goodreads Author),,9780450040184
113,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell (Annotations), John Seelye (Introduction)",,9780143039563
114,Eragon,Christopher Paolini (Goodreads Author),,9780375826696
115,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake (Illustrations)",,9780142403884
116,Flowers for Algernon,Daniel Keyes,,9999999999999
117,On the Road,Jack Kerouac,,9780140042597
118,The Metamorphosis,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)",,9999999999999
119,Looking for Alaska,John Green (Goodreads Author),,9999999999999
120,The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves (Translator)",,9999999999999
121,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,9781400032716
122,The Very Hungry Caterpillar,Eric Carle,,9780241003008
123,Tuesdays with Morrie,Mitch Albom (Goodreads Author),,9780751529814
124,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim (Translator)",,9780571224388
125,The Name of the Rose,"Umberto Eco, William Weaver (Translator)",,9780156001311
126,Where the Red Fern Grows,Wilson Rawls,,9780375806810
127,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré (Illustrator)",,9780439064866
128,The Godfather,"Mario Puzo, Robert Thompson (Introduction), Peter Bart (Afterword)",,9999999999999
129,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly (Annotations), Nina Baym (Introduction)",,9780142437261
130,In Cold Blood,Truman Capote,,9780679745587
131,Fight Club,Chuck Palahniuk (Goodreads Author),,9780393355949
132,The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),,9781401308582
133,"Hush, Hush",Becca Fitzpatrick (Goodreads Author),,9781416989417
134,The Cat in the Hat,Dr. Seuss,,9780394800011
135,American Gods,Neil Gaiman (Goodreads Author),,9999999999999
136,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss (Translator)",,9780140449266
137,Lonesome Dove,Larry McMurtry,,9780671683900
138,Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods (Translator)",,9780140120837
139,Holes,Louis Sachar (Goodreads Author),,9780439244190
140,"The Lion, the Witch and the Wardrobe",C.S. Lewis,,9999999999999
141,Watchmen,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)",,9780930289232
142,It,Stephen King (Goodreads Author),,9780450411434
143,The Last Olympian,Rick Riordan (Goodreads Author),,9781423101475
144,The Little House Collection,"Laura Ingalls Wilder, Garth Williams (Illustrator)",,9780060529963
145,The Divine Comedy,"Dante Alighieri, Allen Mandelbaum (Translator), Eugenio Montale (Introduction)",,9780679433132
146,Peter Pan,"J.M. Barrie, Michael Hague (Illustrator)",,9780805072457
147,All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)",,9780449213940
148,"The Hobbit, or There and Back Again",J.R.R. Tolkien,,9780618260300
149,The Compleat Works of Wllm Shkspr (abridged),"Reduced Shakespeare Company, Adam Long (Contributor), Daniel Singer (Contributor), Jess Winfield (Editor)",,9781557831576
150,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman (Translator)",,9781400034680
151,Shadow Kiss,Richelle Mead (Goodreads Author),,9781595141972
152,Insurgent,Veronica Roth (Goodreads Author),,9780007442911
153,The Thorn Birds,Colleen McCullough,,9999999999999
154,A Walk to Remember,Nicholas Sparks (Goodreads Author),,9999999999999
155,How the Grinch Stole Christmas!,Dr. Seuss,,9780007173044
156,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,,9780345453747
157,Atonement,Ian McEwan,,9780385721790
158,The Importance of Being Earnest,Oscar Wilde,,9781580495806
159,"Eat, Pray, Love",Elizabeth Gilbert (Goodreads Author),,9780143038412
160,Their Eyes Were Watching God,Zora Neale Hurston,,9780061120060
161,The Three Musketeers,Alexandre Dumas,,9999999999999
162,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow (Illustrator)",,9780140621679
163,Frostbite,Richelle Mead (Goodreads Author),,9999999999999
164,Goodnight Moon,"Margaret Wise Brown, Clement Hurd (Illustrator)",,9780060775858
165,The Lorax,Dr. Seuss,,9780679889106
166,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman (Goodreads Author)",,9999999999999
167,Blood Promise,Richelle Mead (Goodreads Author),,9781595141989
168,Tess of the D'Urbervilles,"Thomas Hardy, Margaret R. Higonnet (Introduction), Maria Grazia Griffini (Translator), Tim Dolin (Notes)",,9999999999999
169,The Good Earth,Pearl S. Buck,,9781416500186
170,Heart of Darkness,"Joseph Conrad, Aníbal Fernandes (Translator)",,9781892295491
171,The Battle of the Labyrinth,Rick Riordan (Goodreads Author),,9999999999999
172,A Midsummer Night's Dream,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Catherine Belsey (Contributor)",,9780743477543
173,Clockwork Princess,Cassandra Clare (Goodreads Author),,9781406321340
174,The Prophet,Kahlil Gibran,,9780001000391
175,The Mists of Avalon,Marion Zimmer Bradley,,B000FC1JCQ
176,The Titan's Curse,Rick Riordan (Goodreads Author),,9780141382890
177,The Sea of Monsters,Rick Riordan (Goodreads Author),,9780786856862
178,The Joy Luck Club,Amy Tan (Goodreads Author),,9780143038092
179,Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",,9780517223628
180,The Call of the Wild,"Jack London, Avi (Introduction)",,9780439227148
181,Jonathan Livingston Seagull,"Richard Bach (Goodreads Author), Russell Munson (Photographer)",,9780743278904
182,Madame Bovary,"Gustave Flaubert, Mark Overstall (Contributor), Paul De Man (Editor), Malcolm Bowie (Introduction), Margaret Mauldon (Translator)",,9780192840394
183,The Phantom Tollbooth,"Norton Juster, Jules Feiffer (Illustrator)",,9780394820378
184,Bridge to Terabithia,Katherine Paterson,,B001UFP6JY
185,The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier (Translator), Pilar Ramírez Tello (Goodreads Author) (Translator), Hanna Hörl (Illustrator), Sylke Hachmeister (Translator), Peter Klöss (Translator)",,9780545265355
186,"Oh, the Places You'll Go!",Dr. Seuss,,9780679805274
187,The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland (Translator)",,9780307269980
188,The Maze Runner,James Dashner (Goodreads Author),,9780385737944
189,The Neverending Story,"Michael Ende, Ralph Manheim (Translator), Roswitha Quadflieg (Illustrator)",,9780525457589
190,Oliver Twist,"Charles Dickens, Philip Horne (Introduction), Gerald Dickens (Narrator), 查尔斯·狄更斯, 吴倩卓 (Translator)",,9999999999999
191,Ulysses,"James Joyce, Morris L. Ernst (Foreword), John M. Woolsey (Foreword)",,9999999999999
192,Treasure Island,"Robert Louis Stevenson, David W. Whitehead (Introduction), Richard S. Hartmetz (Goodreads Author) (Editor)",,9780753453803
193,Fifty Shades of Grey,E.L. James (Goodreads Author),,9781612130293
194,The Clan of the Cave Bear,Jean M. Auel,,B00466HQ2Y
195,A Storm of Swords,George R.R. Martin,,9780553573428
196,The Canterbury Tales,"Geoffrey Chaucer, Nevill Coghill (Translator)",,9780140424386
197,The World According to Garp,John Irving (Goodreads Author),,9780345915597
198,A Farewell to Arms,Ernest Hemingway,,9780099910107
199,David Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)",,9999999999999
200,Tote Mädchen lügen nicht,"Jay Asher (Goodreads Author), Knut Krüger (Übersetzer)",,9783570160206
201,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith (Illustrator)",,9780060987107
202,Shōgun,James Clavell,,9780440178002
203,Extremely Loud & Incredibly Close,Jonathan Safran Foer (Goodreads Author),,9780618711659
204,Murder on the Orient Express,Agatha Christie,,9780007119318
205,His Dark Materials,Philip Pullman,,9780440238607
206,A Little Princess,"Frances Hodgson Burnett, Nancy Bond (Foreword)",,9780142437018
207,The Other Boleyn Girl,Philippa Gregory (Goodreads Author),,9999999999999
208,Schindler's List,Thomas Keneally,,9780340606513
209,The Boy in the Striped Pajamas,John Boyne,,9999999999999
210,Jurassic Park,Michael Crichton,,B007UH4D3G
211,Last Sacrifice,Richelle Mead (Goodreads Author),,9781595143068
212,The Night Circus,Erin Morgenstern (Goodreads Author),,9780385534635
213,Fallen,Lauren Kate (Goodreads Author),,9780385738934
214,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien (Editor), Ted Nasmith (Illustrator)",,9780618391110
215,The Secret Magdalene,Ki Longfellow (Goodreads Author),,9780307346667
216,Beloved,Toni Morrison,,9781400033416
217,The Trial,"Franz Kafka, Max Brod (Afterword), Willa Muir (Translator), Edwin Muir (Translator)",,9999999999999
218,A Confederacy of Dunces,"John Kennedy Toole, Walker Percy (Foreword)",,9780802130204
219,The Sun Also Rises,Ernest Hemingway,,9999999999999
220,The Selection,Kiera Cass (Goodreads Author),,9780062059932
221,The Velveteen Rabbit,"Margery Williams Bianco, William Nicholson (Illustrator)",,9780380002559
222,Catching Fire,Suzanne Collins,,9780439023498
223,The Lost Hero,Rick Riordan (Goodreads Author),,9781423113393
224,Throne of Glass,Sarah J. Maas (Goodreads Author),,9999999999999
225,Spirit Bound,Richelle Mead (Goodreads Author),,9781595142504
226,Clockwork Prince,Cassandra Clare (Goodreads Author),,9781416975885
227,The Iliad/The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",,9780147712554
228,The Crucible,"Arthur Miller, Christopher Bigs(Introduction)",,9780142437339
229,Cat's Cradle,Kurt Vonnegut Jr.,,9780140285604
230,The God of Small Things,"Arundhati Roy (Goodreads Author), Claude Demanuelli (Translator), Barbara Auer (Narrator), Diana Quick (Reading), Luana Stoica (trad.), Donada Peters (Narrator), Josep Julià Ballbé (Translator)",,9780679457312
231,The Wind in the Willows,"Kenneth Grahame, Gillian Avery (Introduction)",,9780143039099
232,The Screwtape Letters,C.S. Lewis,,B002BD2V2Y
233,Girl with a Pearl Earring,Tracy Chevalier (Goodreads Author),,9780452287020
234,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill (Goodreads Author)",,9780553256697
235,A Light in the Attic,Shel Silverstein,,9780060513061
236,The Silence of the Lambs,Thomas Harris,,9780099446781
237,Shiver,Maggie Stiefvater (Goodreads Author),,9780545123266
238,Uglies,Scott Westerfeld (Goodreads Author),,9780689865381
239,City of Fallen Angels,Cassandra Clare (Goodreads Author),,9781442403543
240,Man's Search for Meaning,"Viktor E. Frankl, Harold S. Kushner (Foreword), William J. Winslade (Afterword), Isle Lasch (Translator)",,9780807014295
241,She's Come Undone,Wally Lamb (Goodreads Author),,9780671021009
242,The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos (Translator)",,9780060809249
243,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,,9780739461198
244,Ella Enchanted,Gail Carson Levine (Goodreads Author),,9780590920681
245,The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin (Translator)",,9780965341981
246,Cinder,Marissa Meyer (Goodreads Author),,9999999999999
247,The Green Mile,Stephen King (Goodreads Author),,9780451933027
248,Blindness,José Saramago,,B003T0GBOM
249,A Clash of Kings,George R.R. Martin,,9780553381696
250,The Sound and the Fury,William Faulkner,,9999999999999
251,The Shack,William Paul Young,,B001B8Z2S0
252,Marked,"P.C. Cast (Goodreads Author), Kristin Cast (Goodreads Author)",,9780312360269
253,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",,9781984801814
254,For Whom the Bell Tolls,Ernest Hemingway,,9999999999999
255,Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman (Illustrator)",,9780679785897
256,The House of the Spirits,"Isabel Allende (Goodreads Author), Magda Bogin (Translator)",,9780553383805
257,The Complete Calvin and Hobbes,Bill Watterson,,9780740748479
258,Roots: The Saga of an American Family,Alex Haley,,9780440174646
259,Misery,Stephen King (Goodreads Author),,9780450417399
260,Howl's Moving Castle,Diana Wynne Jones,,9780064410342
261,Stranger in a Strange Land,Robert A. Heinlein,,9780441788385
262,Island of the Blue Dolphins,Scott O'Dell,,B0038AUY8M
263,Midnight Sun [2008 Draft],Stephenie Meyer,,9999999999999
264,The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland (Translator)",,9780307269997
265,The Secret History,Donna Tartt,,9781400031702
266,White Oleander,Janet Fitch (Goodreads Author),,9780316182546
267,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)",,9999999999999
268,Delirium,Lauren Oliver (Goodreads Author),,9780061726835
269,Beautiful Disaster,Jamie McGuire (Goodreads Author),,B0052VUNHC
270,Othello,William Shakespeare,,9780743477550
271,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow (Goodreads Author),,9780975925591
272,Paper Towns,John Green (Goodreads Author),,9780142414934
273,The Vampire Lestat,Anne Rice,,9780345476883
274,Speak,Laurie Halse Anderson (Goodreads Author),,9780374311254
275,The Idiot,"Fyodor Dostoyevsky, Anna Brailovsky (Translator), Eva M. Martin (Translator), Constance Garnett (Translator), Martin Geeson (Narrator), Joseph Frank (Introduction)",,9780679642428
276,King Lear,William Shakespeare,,9780743482769
277,The Once and Future King,T.H. White,,9780441627400
278,I Know This Much Is True,Wally Lamb (Goodreads Author),,9780060987565
279,Neverwhere,Neil Gaiman (Goodreads Author),,9780060557812
280,Into the Wild,Jon Krakauer (Goodreads Author),,9780385486804
281,Inkheart,"Cornelia Funke (Goodreads Author), Anthea Bell (Translator)",,9780439709101
282,Uncle Tom's Cabin,Harriet Beecher Stowe,,9999999999999
283,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore (Goodreads Author),,9780380813810
284,The Historian,Elizabeth Kostova,,B000FCK6EI
285,The Complete Sherlock Holmes,Arthur Conan Doyle,,9780553328257
286,Candide,"Voltaire, Sara Gioacchino Corcos (Translator)",,9780486266893
287,James and the Giant Peach,"Roald Dahl, Quentin Blake (Illustrator)",,9780375814242
288,Invisible Man,Ralph Ellison,,9999999999999
289,Gone Girl,Gillian Flynn (Goodreads Author),,9999999999999
290,Blood River: A Journey to Africa's Broken Heart,Tim Butcher (Goodreads Author),,9780099494287
291,Paradise Lost,"John Milton, John Leonard (Editor, Contributor)",,9780140424393
292,Leaves of Grass,Walt Whitman,,9999999999999
293,All Creatures Great and Small,James Herriot,,9780312965785
294,Graceling,Kristin Cashore,,9999999999999
295,The Complete Works,William Shakespeare,,9780517053614
296,The Thirteenth Tale,Diane Setterfield (Goodreads Author),,9780743298025
297,Foundation,Isaac Asimov,,9780553803716
298,Norwegian Wood,"Haruki Murakami, Jay Rubin (Translator)",,9780375704024
299,The Things They Carried,Tim O'Brien,,9780767902892
300,The Cider House Rules,John Irving (Goodreads Author),,9780786226740
301,The Time Machine,"H.G. Wells, Greg Bear (Introduction), Carlo Pagetti (Foreword)",,9999999999999
302,Different Seasons,Stephen King (Goodreads Author),,9780751514629
303,Kafka on the Shore,"Haruki Murakami, Philip Gabriel (Translator)",,9781400079278
304,Heidi,"Johanna Spyri, Beverly Cleary (Foreword), Angelo Rinaldi (Illustrator)",,9780753454947
305,"Are You There God? It's Me, Margaret",Judy Blume (Goodreads Author),,9780689841583
306,City of Lost Souls,Cassandra Clare (Goodreads Author),,9781442416864
307,Sophie's World,"Jostein Gaarder, Paulette Møller (Translator)",,9781857993288
308,Walden,Henry David Thoreau,,9999999999999
309,The Wise Man's Fear,Patrick Rothfuss (Goodreads Author),,9780756404734
310,زندگی مه آلود پریا,سید مرتضی مصطفوی (Goodreads Author),,9786007072714
311,The Awakening,Kate Chopin,,9780543898081
312,Fangirl,Rainbow Rowell (Goodreads Author),,B00BMKH5NW
313,Sophie's Choice,William Styron,,9780679736370
314,The Prince of Tides,Pat Conroy,,9780553381542
315,Never Let Me Go,Kazuo Ishiguro,,9781400078776
316,The Son of Neptune,Rick Riordan (Goodreads Author),,9781423140597
317,Dead Until Dark,Charlaine Harris (Goodreads Author),,9780441008537
318,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,,9780375508417
319,Fifty Shades Darker,E.L. James (Goodreads Author),,9781612130583
320,Ready Player One,Ernest Cline (Goodreads Author),,9780307887436
321,Middlemarch,"George Eliot, Michel Faber (Introduction)",,9780451529176
322,The Monster at the End of this Book,"Jon Stone, Michael J. Smollin (Illustrator)",,9780375829130
323,A Court of Mist and Fury,Sarah J. Maas (Goodreads Author),,B015FELXQ0
324,Things Fall Apart,Chinua Achebe,,9999999999999
325,Bridget Jones's Diary,"Helen Fielding (Goodreads Author), Хелен Филдинг",,9780140280098
326,Mrs. Dalloway,"Virginia Woolf, Maureen Howard (Foreword)",,9780151009985
327,Mockingjay,Suzanne Collins,,9780439023511
328,Franny and Zooey,J.D. Salinger,,9780316769020
329,The Power of One,Bryce Courtenay,,9780345410054
330,The Magician's Nephew,C.S. Lewis,,9780060764906
331,Stardust,Neil Gaiman (Goodreads Author),,9780061142024
332,A Time to Kill,John Grisham (Goodreads Author),,9999999999999
333,The Gunslinger,Stephen King (Goodreads Author),,9999999999999
334,Number the Stars,Lois Lowry (Goodreads Author),,9780440227533
335,Do Androids Dream of Electric Sheep?,Philip K. Dick,,B000SEGTI0
336,Allegiant,Veronica Roth (Goodreads Author),,9780007524273
337,Eleanor & Park,Rainbow Rowell (Goodreads Author),,9781250012579
338,A Short History of Nearly Everything,Bill Bryson,,9780767908184
339,The Lord of the Rings,J.R.R. Tolkien,,9999999999999
340,Me Before You,Jojo Moyes (Goodreads Author),,9780143124542
341,The Mark of Athena,Rick Riordan (Goodreads Author),,9781423140603
342,The Art of Racing in the Rain,Garth Stein (Goodreads Author),,9781554681723
343,The Way of Kings,Brandon Sanderson (Goodreads Author),,9780765326355
344,If I Stay,Gayle Forman (Goodreads Author),,9780525421030
345,Black Beauty,Anna Sewell,,9780439228909
346,Legend,Marie Lu (Goodreads Author),,9999999999999
347,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry (Afterword)",,9999999999999
348,A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane (Editor), Jim Norton (Translation), Hans Walter Gabler, Jeri Johnson (Editor), J.M. Gaffney (Editor), Ludmila Savitzky (Translator)",,9780142437346
349,Gulliver's Travels,"Jonathan Swift, Robert DeMaria Jr. (Editor)",,9780141439495
350,Bel Canto,Ann Patchett,,9780060838720
351,American Psycho,Bret Easton Ellis,,9780679735779
352,V for Vendetta,"Alan Moore (Goodreads Author), David Lloyd (Illustrator)",,9781401207922
353,Love You Forever,"Robert Munsch, Sheila McGraw (Illustrator)",,9780920668375
354,The Witches,"Roald Dahl, Quentin Blake (Illustrator)",,9780590032490
355,القرآن الكريم,Anonymous,,9999999999999
356,The Graveyard Book,"Neil Gaiman (Goodreads Author), Dave McKean (Illustrator)",,9780060530921
